timestamp,group_id,username,recommended_city,destination_relevance,budget_accuracy,vibe_match,overall_satisfaction,would_use_again,comments
2026-04-19 14:14:55,2,meera,Dandeli,5,3,4,4,yes,
2026-04-19 14:32:36,3,Neha,Amritsar,3,5,2,3,maybe,It keep showing same destination even we changed the vibes
2026-04-21 08:39:05,4,samruddhi,Amritsar,3,4,5,4,yes,
2026-04-21 09:15:22,5,Srushti,Goa,5,4,5,5,yes,Perfectly matched our beach and nightlife vibe. Budget was spot on.
2026-04-21 10:03:47,6,Surabhi,Lonavala,4,3,4,4,yes,Good suggestion for a weekend trip from Pune.
2026-04-21 10:44:11,7,Swaranjali,Manali,5,2,5,4,yes,Loved the destination but budget was underestimated for winter.
2026-04-21 11:22:33,8,Sharvari,Coorg,4,4,4,4,yes,
2026-04-21 12:05:18,9,Payal,Rishikesh,5,5,5,5,yes,Exactly what we wanted. Adventure and spiritual vibes both covered.
2026-04-21 13:30:09,10,sneha,Hampi,3,4,3,3,maybe,We wanted beaches but it suggested heritage. NLP missed our preference.
2026-04-21 14:08:44,11,Pratiksha,Dandeli,4,3,5,4,yes,Trekking and nature match was great.
2026-04-21 15:00:00,12,ananya,Goa,5,4,4,4,yes,
2026-04-21 15:45:30,13,Isha_m,Alleppey,4,5,4,4,yes,Houseboat suggestion was very relevant to our relaxation request.
2026-04-21 16:20:15,14,pooja,Udaipur,3,3,3,3,maybe,Expected hill station suggestions for the whole group but got only one.
2026-04-21 17:05:52,15,siddhi,Manali,5,3,5,4,yes,
2026-04-21 17:50:11,16,kavya,Rishikesh,4,5,4,4,yes,Budget estimation matched our actual spending quite well.
2026-04-22 09:00:33,17,nikita,Munnar,5,4,5,5,yes,The system understood our nature and tea garden preference perfectly.
2026-04-22 09:45:19,18,swati,Lonavala,3,2,3,3,maybe,Budget was too low for the places it suggested within Lonavala.
2026-04-22 10:30:00,19,vina,Jaisalmer,5,4,5,5,yes,Desert camping vibe was perfectly captured. Great recommendation.
2026-04-22 11:15:44,20,pallavi,Goa,4,4,4,3,yes,
2026-04-22 12:00:28,21,aditya_k,Amritsar,4,5,3,3,yes,Cultural recommendation was good but vibe matching slightly off.
2026-04-22 12:45:00,22,meghna,Coorg,5,3,5,4,yes,
2026-04-22 13:30:17,23,ravi,Alleppey,3,4,4,3,no,System suggested same destination as our previous group search.
2026-04-22 14:15:33,24,shruti,Rishikesh,5,5,5,5,yes,Best recommendation. River rafting and yoga both suggested. Loved it.
2026-04-22 15:00:50,25,aman,Munnar,4,4,4,4,yes,
2026-04-22 15:45:06,26,nisha,Jaipur,4,3,4,4,maybe,Heritage was a good match but budget seemed slightly off for our group size.
2026-04-22 16:30:22,27,teju,Dandeli,5,4,5,5,yes,Adventure and nature vibe match was excellent.
2026-04-22 17:15:38,28,sonali,Lonavala,3,3,3,3,maybe,
2026-04-22 18:00:54,29,harsh,Goa,5,5,4,5,yes,Budget estimate was accurate. Would definitely book based on this.
2026-04-22 18:45:10,30,kritika,Ooty,4,4,4,4,yes,Good for family trip. Kids activities were mentioned well.
2026-04-23 09:00:26,31,vikram,Jaisalmer,4,3,5,4,yes,
2026-04-23 09:45:42,32,poonam,Manali,5,2,5,4,yes,Snow activities matched perfectly but travel cost was underestimated.
2026-04-23 10:30:58,33,sandeep,Alleppey,4,4,4,4,yes,Houseboat culture and backwater vibe was well understood.
2026-04-23 11:15:14,34,jyoti,Coorg,3,4,3,3,maybe,We mentioned waterfalls and coffee but got only basic nature tags.
2026-04-23 12:00:30,35,aryan,Rishikesh,5,5,5,4,yes,
2026-04-23 12:45:46,36,ishaan,Amritsar,3,4,2,3,maybe,We wanted adventure but got cultural. NLP did not pick up our activity keywords.
2026-04-23 13:30:02,37,tanya,Goa,5,4,5,4,yes,Group vibe was party and beach. Both covered well.
2026-04-23 14:15:18,38,rajlakshmi,Munnar,4,3,4,4,yes,
2026-04-23 15:00:34,39,aishwarya,Ooty,4,4,4,4,yes,Toy train and tea garden suggestions were very relevant.
2026-04-23 15:45:50,40,kirti,Jaisalmer,5,4,5,5,yes,Desert vibe and camel safari coverage was perfect.
2026-04-23 16:30:06,41,simran,Lonavala,4,3,4,4,yes,
2026-04-23 17:15:22,42,neha,Dandeli,4,5,4,4,yes,Budget was accurate for our group of 4.
2026-04-23 18:00:38,43,pratik,Alleppey,5,4,5,5,yes,Exactly what we were looking for. System understood relaxation perfectly.
2026-04-23 18:45:54,44,sagar,Manali,3,2,4,3,no,Budget too low for December trip. Accommodation costs not factored well.
2026-04-24 09:00:10,45,bhavna,Jaipur,4,4,4,4,yes,
2026-04-24 09:45:26,46,kiran,Coorg,5,4,5,5,yes,Coffee and nature lover group. System matched us perfectly.
2026-04-24 10:30:42,47,abhishek,Rishikesh,4,5,4,4,yes,
2026-04-24 11:15:58,48,ritu,Goa,3,3,3,3,maybe,Budget was slightly off and vibe could be more specific. Decent overall.
2026-04-24 12:01:14,49,mihir,Amritsar,5,4,4,4,yes,Cultural and spiritual recommendations were on point.
2026-04-24 12:46:30,50,prachi,Munnar,4,4,5,3,yes,Great vibe match for our nature-loving group.
2026-04-24 13:30:00,51,vihan,Panchgani,4,4,3,3,maybe,Decent suggestion but we expected more water activity options.
